,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,미노타우르스,Minotaur,멈춰라 인간!,감히 마왕님의 영역을 침범하다니!,
,2,왼쪽,케이,Kay_happy,오호! 미노타우르스도 말을 할 줄 아는구나!,그냥 쇠질 좀 한 소 정도로 생각했는데.,
,3,왼쪽,엘프 궁수,ElfArcher,말보단 폭력을 우선시 하는 마왕군이 대화를 시도하는 걸 보니,꽤나 다급해졌나 봅니다. 이대로 계속 밀어 붙일까요?,
,4,왼쪽,케이,Kay_normal,아니. 우리의 목적은 마왕을 물리치는 것이 아니야.,마왕이 정말 전쟁을 준비중인건지 확인하던지,생각을 바꿔보도록 해야지!
,5,오른쪽,미노타우르스,Minotaur,무슨 말을 하는거지? 전쟁을 준비해?,마왕님이 관대한 마음으로 너희 인간들을 내버려 두기로한 은혜를 잊은 것이냐?,
,6,왼쪽,케이,Kay_serious,이 녀석 봐라?,말만 하는 게 아니라 뻔뻔하게 거짓말까지 하고 있잖아!,내가 소대가리를 너무 만만하게 봤었네.
,7,왼쪽,케이,Kay_serious,우린 다 알고 왔다구. 너희 마왕군의 계략을 말이야!,너희가 보낸 암살자가 다 불었으니까 모르는 척 해도 소용 없어!,
,8,오른쪽,미노타우르스,Minotaur,"인간 녀석들, 평화에 적응하지 못하고 미쳐 버렸나 보구나.",역시 네놈들에게 평화 같은 건 과분했다!,
,9,왼쪽,성기사,Paladin,누가 할 소리!,너희 같은 괴물 녀석들과 평화를 유지할 수 있다고 생각했다니.,이제라도 그 실수를 바로 잡아야 겠다!
,10,왼쪽,케이,Kay_angry,그만! 이렇게 떠들어 봐야 진전이 없겠어.,소 대가리! 계속 헛소리 할거면 덤비던지 대빵 불러와!,우린 그냥 돌아갈 생각 없으니까!
,11,오른쪽,미노타우르스,Minotaur,이 멍청이들이 끝까지...!,,
,12,오른쪽,용기사,General_normal,미노! 그만하면 됐다.,,
,13,오른쪽,미노타우르스,Minotaur,장군님!,,
,14,왼쪽,마법사,Wizard,장군? 저 어린 엘프가?,,
,15,오른쪽,용기사,General_normal,가능하면 좋게 돌려보내려 했지만 정도를 모르고 날뛰는구나.,게다가 우리 마왕님의 은혜를 모욕으로 갚다니!,
,16,왼쪽,케이,Kay_serious,"어휴, 아직도 모르는 척으로 일관할 모양이네.",,
,17,왼쪽,케이,Kay_angry,야 꼬맹이! 한명씩 나와서 발뺌할 시간에 마왕 불러오라구!,아니면 우리가 직접 찾아갈라니까!,
,18,오른쪽,용기사,General_angry,마왕님은 이 곳에 없다!,있으시더라도 이런 조무래기에게 시간을 낭비하시게 할 순 없지.,
,19,왼쪽,성기사,Paladin,...!!,조심하세요 공주님! 엄청난 살기가 느껴집니다!,
,20,오른쪽,용기사,General_angry,"그래, 너희가 바라는 것이 전쟁이란 말이지?",좋다. 내가 보여주마.,
,21,오른쪽,용기사,Dragon,마왕군의 진정한 위세를!,,
,22,왼쪽,수확자,Reaper,오호라...! 드래곤이라니.,이 정도의 강한 영혼은 수확해 본적이 없는걸.,
,23,왼쪽,케이,Kay_serious,크윽...!,모두 단단히 준비해!,우리가 여기서 쓰러지면 이 세상은 끝이야!
,24,오른쪽,용기사,Dragon,압도적인 군대 앞에 모두가 쓰러지리라!!,,
