,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,성기사,Paladin,"크윽, 이런 오합지졸에게 막히다니...",훈련이 부족했나.,
,2,왼쪽,케이,Kay_normal,휴... 겨우 이겼네.,역시 아바마마가 인정한 성기사다워.,
,3,오른쪽,성기사,Paladin,"공주님, 왕국의 국방은 공주님이 관여하실 일이 아닙니다.",왜 이렇게 위험을 자초하시는 겁니까?,
,4,왼쪽,케이,Kay_normal,내가 나서지 않으면 결국 일이 터질 때까지 아무도 행동하지 않을 테니까!,,
,5,오른쪽,성기사,Paladin,...네?,,
,6,왼쪽,케이,Kay_serious,나도 내 행동이 무책임하다는 건 알아.,"하지만 내가 망설여서, 때가 늦어서 왕국이 정말 마왕군에게 당하기라도 한다면",내 스스로가 얼마나 밉겠어?
,7,왼쪽,케이,Kay_serious,내 생각이 틀리게 되더라도 좋아.,그럼 결국 한 정신나간 공주의 일탈일 뿐일테니까.,하지만 내가 맞다면 난 내 목숨을 걸고서라도 왕국을 지킬거야.
,8,왼쪽,케이,Kay_serious,아저씨가 아저씨의 책임을 다한 것처럼,난 공주의 책임을 다해야 하니까!,
,9,오른쪽,성기사,Paladin,...,,
,10,왼쪽,검사,Swordsman,공주님...,,
,11,왼쪽,마법사,Wizard,"호오, 제법 지도자 다운걸요.",,
,12,오른쪽,성기사,Paladin,...그렇군요.,공주님의 비장가 이정도 일 줄은 몰랐습니다.,저의 불찰을 용서해주세요.
,13,왼쪽,케이,Kay_happy,좋아. 용서해줄게!,이제 아저씨는 아바마마에게 돌아가서...,
,14,오른쪽,성기사,Paladin,아뇨. 저도 공주님을 따라가겠습니다.,,
,15,왼쪽,케이,Kay_embarrassed,...뭐?? 제정신이야?,아저씨 임무는 날 끌고가는거잖아.,나랑 같이 떠나버리면 임무는 어쩌려고 그래?
,16,오른쪽,성기사,Paladin,맞습니다. 하지만 언제까지 모시고 오라는 말씀은 없었습니다.,전 반드시 공주님을 안전하게 모시고 다시 왕국으로 돌아올 것입니다.,
,17,오른쪽,성기사,Paladin,물론 돌아오면 크게 혼낼겁니다.,몰래 왕국을 빠져나간 것은 큰 잘못이니까요.,
,18,왼쪽,케이,Kay_embarrassed,...거절해도 될까?,,
,19,오른쪽,성기사,Paladin,"자, 왕국에서 병력이 더 오기 전에 가시죠.",,
,20,왼쪽,케이,Kay_serious,크윽... 맘에 안들지만 어쩔 수 없지.,,
,21,왼쪽,케이,Kay_serious,용병단! 다음 목표는 요정 숲이야.,오랫동안 왕국과 교류가 끊겼으니 우릴 경계할 것이 뻔해.,모두 준비 단단히 해!
