,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,사슴 기사,DeerKnight,으윽...!,더러운 침입자들 주제에 제법 하는구나.,
,2,왼쪽,케이,Kay_angry,뭐? 용서 못해.,날 침입자라 부르는 건 참을 수 있지만,날 더럽다고 하는 건 참을 수 없어!
,3,왼쪽,성기사,Paladin,...저희 요즘 잘 못 씻어서 더럽긴 합니다.,,
,4,왼쪽,케이,Kay_embarrassed,!!!,아저씨 용서 못해!,
,5,오른쪽,사슴 기사,DeerKnight,그만! 이제 장난질은 끝이다.,나무 거인들이여! 일어나 침입자들을 짓뭉개 버려라!,
,6,왼쪽,케이,Kay_embarrassed,으앗...!,"하, 함정이다! 위험해!",
,7,오른쪽,여왕,Elementalist,"그만 하세요, 단장.",,
,8,오른쪽,사슴 기사,DeerKnight,엇...! 여왕님!,어떻게 이 곳까지...?,
,9,오른쪽,엘프 궁수,ElfArcher,제가 보고드렸습니다.,단장님이 왕국의 공주를 해하려 하신다는 것을요.,
,10,오른쪽,사슴 기사,DeerKnight,공주...?,저 더러운 침입자가?,
,11,왼쪽,케이,Kay_dark,어이. 아저씨.,한번만 더 더럽다고 하면 아저씨 오늘 죽어.,
,12,오른쪽,여왕,Elementalist,"...겉모습만으로 판단하는 버릇은 여전하군요, 단장.",단장은 지금 제 명을 어긴 것도 모자라 이웃 국가의 귀인을 해치려던 거에요.,
,13,오른쪽,사슴 기사,DeerKnight,"하지만 여왕님, 저자가 공주라고 해도 달라지는 것은 없습니다.",저들이 군대를 몰고 숲을 헤집고 다니는데 보고만 있을 순 없지 않습니까!,
,14,오른쪽,여왕,Elementalist,그걸 결정하는 것은 당신의 역할이 아닙니다!,숲의 적을 늘리는 만행을 계속할 작정입니까?,
,15,오른쪽,사슴 기사,DeerKnight,...,,
,16,오른쪽,여왕,Elementalist,...저희가 큰 실례를 범했군요.,제대로 인사드리겠습니다.,"요정 숲에 오신 것을 환영합니다, 공주."
,17,왼쪽,케이,Kay_normal,흠흠. 중앙 왕국의 공주 케이라고 합니다.,숲의 여왕님을 뵙게 되어 큰 영광입니다.,
,18,오른쪽,여왕,Elementalist,보고를 통해 들었습니다.,마왕의 재침공을 대비해 대륙을 돌며 경계를 강화할 것을 촉구하고 있다고.,
,19,왼쪽,케이,Kay_serious,네! 믿기 어려우시겠지만 지금이 아니면 너무 늦을지도 모릅니다!,,
,20,오른쪽,여왕,Elementalist,...알겠습니다. 당신의 마음에서 진심과 강한 의지가 느껴지는군요.,요정 숲은 공주님의 뜻을 따르겠습니다.,
,21,왼쪽,케이,Kay_normal,그... 말씀은?,,
,22,오른쪽,여왕,Elementalist,저희 숲의 정예 병력들을 지원해드리겠습니다.,부디 공주님의 여정에 조금이나마 힘이 될 수 있길 바랍니다.,
,23,왼쪽,마법사,Wizard,오호... 요정 숲과의 군사 동맹이라.,중대한 역사의 순간이네요.,
,24,오른쪽,여왕,Elementalist,그럼에도 다음 지역인 저주받은 묘지는 공주님께 큰 고난이 될 것입니다.,저희들이 저주받은 망자의 침입을 막고 있지만 그 곳은 이미 저주에 삼켜진 땅이니까요.,
,25,왼쪽,케이,Kay_happy,...조언 감사합니다!,반드시 잘 해내고 돌아올게요!,
,26,오른쪽,여왕,Elementalist,"후훗. 몸 조심하세요, 공주님.",,
