,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,왼쪽,케이,Kay_embarrassed,"으윽, 주변의 저주가 너무 강해서 이젠 어디가 앞인지도 모르겠어.",,
,2,왼쪽,엘프 궁수,ElfArcher,망자들이 점점 강해지는 걸 보니 묘지의 중심에 가까워진 것 같습니다.,이제 이 길로 따라가기만 하면...,
,3,오른쪽,수확자,Reaper,너희들의 저승길이 나오지.,,
,4,왼쪽,엘프 궁수,ElfArcher,...!!,물러서세요!,
,5,왼쪽,케이,Kay_embarrassed,으앗! 이 떠다니는 천쪼가리는 뭐야!,,
,6,오른쪽,수확자,Reaper,신선한 영혼들이 제 발로 이 땅을 찾아오다니.,요즘은 이런 곳 까지 배달이 오나?,
,7,왼쪽,마법사,Wizard,저 모습은...!,역사책에서 본 적 있어요.,고대의 전쟁 당시 고대 왕국의 한 마법사가 마왕군을 상대로 금지된 마법을 사용했고...
,8,왼쪽,마법사,Wizard,그 여파로 끔찍한 존재가 나타나 그 자리의 모든 생명을 거두어 갔다고...,,
,9,오른쪽,수확자,Reaper,"끔찍하다니, 나 상처 받어.",이토록 아름다운 죽음이 또 어디 있겠어?,
,10,왼쪽,케이,Kay_normal,...아름다워? 시커매가지고 아무것도 안보이는데?,,
,11,왼쪽,검사,Swordsman,"...해당 발언은 인종, 문화적으로 어떠한 혐오적 의미를 내포하고 있지 않으며",오직 공주님의 주관적인 발언으로 우리 용병단은 해당 발언에 대해,
,12,왼쪽,케이,Kay_angry,조용히 해!,아무튼 너가 이 망자들의 우두머리라는 거지?,
,13,오른쪽,수확자,Reaper,"후후후, 그래. 내가 바로 묘지의 주인, 영혼 수확자다.",그리고 너희들의 죽음이지.,
,14,왼쪽,케이,Kay_serious,흥! 죽음 좋아하시네.,마왕을 상대로 모인 우리가 한참 못미치는 너 정도에게 당할 것 같아?,
,15,왼쪽,케이,Kay_serious,너를 물리치는 건 계획에 없었지만 어차피 곱게 보내줄 것 같지 않으니 잘됐어.,이제 시체 몰고 다니는 일은 쉬게 해줄게!,
,16,오른쪽,수확자,Reaper,제법 당돌한 영혼이구나?,아주 특별한 수확이 되겠어.,
,17,오른쪽,수확자,Reaper,일어나라 망자들아!,수확할 시간이다!,
